url,title,brand,Switch Type,Hot-Swap,Keycaps,Keycap Color,Size,Key Count,Frame Color,LED Backlight,Connection,Response Rate,N-Key Rollover,Anti-Ghosting,Compatibility,Physical Layout,Regional Layout,Dimensions,Weight,Warranty,model
https://keybumps.com/keyboard/drop-tokyo60.html,Drop Tokyo60 Keyboard Kit V4,Drop,Plate & PCB mount,No,Dye Sub PBT Cherry Profile,Black,60%,60 keys,Bronze,None,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,11.8 x 4.4 x 1.4 in (30 x 11.2 x 3.6 cm),24.7 oz (700 g),1 Year,Tokyo60 Keyboard Kit V4
https://keybumps.com/keyboard/ducky-mk-frozen-llama-mecha-mini-v2.html,Ducky x MK Frozen Llama Mecha Mini V2 60% Mechanical Keyboard,Ducky,"Cherry MX Black, Brown, Blue, Red, Speed Silver or Silent Red",No,Double-shot PBT,Blue,60%,61 keys,Blue,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,x MK Frozen Llama Mecha Mini V2 60%
https://keybumps.com/keyboard/ducky-one-2-phantom-black-tkl.html,Ducky One 2 Phantom Black TKL Mechanical Keyboard,Ducky,Cherry MX,No,Double-shot PBT,Black,Tenkeyless (TKL),87 keys,Black,None,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 2 Phantom Black TKL
https://keybumps.com/keyboard/ducky-one-2-rgb-tkl-pure-white.html,Ducky One 2 Pure White RGB TKL Mechanical Keyboard,Ducky,Cherry MX or Kailh,No,Double-shot PBT,White,Tenkeyless (TKL),87 keys,White,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 2 Pure White RGB TKL
https://keybumps.com/keyboard/ducky-one-2-sf-pure-white.html,Ducky One 2 SF Pure White 65% Mechanical Keyboard,Ducky,Cherry MX or Kailh,No,Double-shot PBT,White,65%,68 keys,White,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 2 SF Pure White 65%
https://keybumps.com/keyboard/ducky-one-2-sf.html,Ducky One 2 SF RGB LED 65% Double-Shot PBT Mechanical Keyboard,Ducky,Cherry MX,No,PBT,Black,65%,68 keys,Black,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 2 SF RGB LED 65% Double-Shot PBT
https://keybumps.com/keyboard/ducky-one-3-aura-clear-black.html,Ducky One 3 Aura Clear Black Mechanical Keyboard,Ducky,"Cherry MX, Gateron or Kailh",Yes,Double-shot PBT,Black,100%,,Black,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 3 Aura Clear Black
https://keybumps.com/keyboard/ducky-one-3-daybreak.html,Ducky One 3 Daybreak Full Size Mechanical Keyboard,Ducky,Cherry MX,Yes,Double-shot PBT,Blue,Full Size,108 keys,Blue,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 3 Daybreak Full Size
https://keybumps.com/keyboard/ducky-one-3-mini-aura-clear-black-60.html,Ducky One 3 Mini Aura Clear Black 60% Mechanical Keyboard,Ducky,"Cherry MX, Gateron or Kailh",Yes,Double-shot PBT,Black,60%,61 keys,Black,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 3 Mini Aura Clear Black 60%
https://keybumps.com/keyboard/ducky-one-3-mini-aura-clear-white-60.html,Ducky One 3 Mini Aura Clear White 60% Mechanical Keyboard,Ducky,"Cherry MX, Gateron or Kailh",Yes,Double-shot PBT,White,60%,61 keys,White,RGB,USB,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,One 3 Mini Aura Clear White 60%
